gene_id	gene_name	SRR2179997	SRR2179998
gene-pin1	gene-pin1	168.357169	167.537354
gene-pin4	gene-pin4	79.455692	87.325875
gene-pink1	gene-pink1	2.602921	2.855211
gene-pinx1	gene-pinx1	52.433781	54.74675
gene-pip4k2aa	gene-pip4k2aa	6.401994	7.516187
gene-pip4k2ab	gene-pip4k2ab	0.273076	0.258037
gene-pip4k2ca	gene-pip4k2ca	37.157926	37.910681
gene-pip4k2cb	gene-pip4k2cb	0.01323	0
gene-pip4p1a	gene-pip4p1a	7.118362	7.721181
gene-pip4p1b	gene-pip4p1b	5.047537	5.27648
gene-pip4p2	gene-pip4p2	8.429729	10.116209
gene-pip5k1aa	gene-pip5k1aa	11.41579	12.9924
gene-pip5k1ab	gene-pip5k1ab	11.681952	12.12069
gene-pip5k1ba	gene-pip5k1ba	0.738174	0.759339
gene-pip5k1bb	gene-pip5k1bb	3.494901	3.918135
gene-pip5k1ca	gene-pip5k1ca	1.756864	1.731742
gene-pip5k1cb	gene-pip5k1cb	0.573245	0.506963
gene-pip5kl1	gene-pip5kl1	0.768142	0.921287
gene-pipox	gene-pipox	1.496943	1.065446
gene-pir	gene-pir	6.267895	6.202785
gene-pirt	gene-pirt	0.14589	0.24741
gene-pisd	gene-pisd	8.152529	8.937282
gene-pithd1	gene-pithd1	13.971377	13.304865
gene-pitpnaa	gene-pitpnaa	33.223681	32.840385
gene-pitpnab	gene-pitpnab	0.64281	0.738528
gene-pitpnb	gene-pitpnb	11.026391	12.398059
gene-pitpnbl	gene-pitpnbl	59.808028	59.137074
gene-pitpnc1a	gene-pitpnc1a	0.685592	0.752691
gene-pitpnc1b	gene-pitpnc1b	9.614028	10.410992
gene-pitpnm2	gene-pitpnm2	6.239578	6.653821
gene-pitpnm3	gene-pitpnm3	2.437337	2.618617
gene-pitrm1	gene-pitrm1	20.876714	22.84014
gene-pitx1	gene-pitx1	5.027063	7.417892
gene-pitx2	gene-pitx2	21.643487	23.564745
gene-pitx3	gene-pitx3	15.505212	15.965183
gene-piwil1	gene-piwil1	0.604487	0.573534
gene-piwil2	gene-piwil2	0.074232	0.098354
gene-pja2	gene-pja2	6.044277	6.631296
gene-pjvk	gene-pjvk	0.13791	0.140272
gene-pkd1a	gene-pkd1a	1.305829	1.472406
gene-pkd1b	gene-pkd1b	2.223919	2.243291
gene-pkd1l1	gene-pkd1l1	0.026341	0.055611
gene-pkd1l2a	gene-pkd1l2a	0.296316	0.340571
gene-pkd1l2b	gene-pkd1l2b	0.146015	0.218347
gene-pkd1l3	gene-pkd1l3	0.024859	0.015969
gene-pkd2	gene-pkd2	2.868425	3.055065
gene-pkd2l1	gene-pkd2l1	1.188306	1.145049
gene-pkdc	gene-pkdc	4.68558	4.996615
gene-pkdcca	gene-pkdcca	5.438363	7.148506
gene-pkdccb	gene-pkdccb	1.452973	1.214133
gene-pkhd1l1.1	gene-pkhd1l1.1	0.061221	0.045932
gene-pkhd1l1.2	gene-pkhd1l1.2	0.26426	0.34012
gene-pkib	gene-pkib	2.558964	2.465812
gene-pkig	gene-pkig	15.71562	15.166422
gene-pklr	gene-pklr	3.772283	5.155713
gene-pkma	gene-pkma	12.273796	13.65634
gene-pkmb	gene-pkmb	3.197579	4.583062
gene-pkmyt1	gene-pkmyt1	6.214787	5.728729
gene-pkn1a	gene-pkn1a	13.393566	13.254633
gene-pkn1b	gene-pkn1b	0.385275	0.423419
gene-pkn2a	gene-pkn2a	6.678861	7.31498
gene-pkn2b	gene-pkn2b	7.838597	9.456284
gene-pkn3	gene-pkn3	8.129834	8.389946
gene-pknox1.1	gene-pknox1.1	13.759193	14.625882
gene-pknox1.2	gene-pknox1.2	2.662059	3.263055
gene-pknox2	gene-pknox2	4.25227	4.721004
gene-pkp1a	gene-pkp1a	0.945321	1.266386
gene-pkp1b	gene-pkp1b	11.952404	11.794701
gene-pkp2	gene-pkp2	4.171768	3.986683
gene-pkp3a	gene-pkp3a	23.380768	24.647025
gene-pkp3b	gene-pkp3b	7.191671	7.698423
gene-pkp4	gene-pkp4	8.545349	8.982736
gene-pks1	gene-pks1	0.906769	0.935231
gene-pkz	gene-pkz	0.055814	0.201685
gene-pla1a	gene-pla1a	1.200465	1.24769
gene-pla2g10	gene-pla2g10	0.025813	0.054607
gene-pla2g12a	gene-pla2g12a	13.421278	13.073696
gene-pla2g12b	gene-pla2g12b	237.306808	244.429592
gene-pla2g15	gene-pla2g15	29.031262	33.296811
gene-pla2g1b	gene-pla2g1b	0	0
gene-pla2g3	gene-pla2g3	0.143183	0.262145
gene-pla2g4aa	gene-pla2g4aa	4.319049	4.752345
gene-pla2g4ab	gene-pla2g4ab	0.181417	0.067138
gene-pla2g4c	gene-pla2g4c	0.015569	0
gene-pla2g4cl1	gene-pla2g4cl1	0.025983	0.085653
gene-pla2g4f.1	gene-pla2g4f.1	1.937025	2.02835
gene-pla2g4f.2	gene-pla2g4f.2	0.070449	0.099671
gene-pla2g6	gene-pla2g6	6.972581	8.392197
gene-pla2g7	gene-pla2g7	8.770952	9.406579
gene-pla2r1	gene-pla2r1	1.734025	2.175648
gene-plaa	gene-plaa	15.072007	15.438587
gene-plaat1	gene-plaat1	0.818869	0.234126
gene-plaat1l	gene-plaat1l	4.80155	4.425787
gene-plac8.1	gene-plac8.1	0	0
gene-plac8.2	gene-plac8.2	0	0
gene-plac8l1	gene-plac8l1	1.053068	1.429852
gene-plag1	gene-plag1	1.655332	1.686877
gene-plagl2	gene-plagl2	7.6745	8.704919
gene-plagx	gene-plagx	31.995496	34.286009
gene-plat	gene-plat	0.885501	0.841889
gene-plaua	gene-plaua	0.082247	0.105671
gene-plaub	gene-plaub	0.184525	0.314739
gene-plb1	gene-plb1	0.122137	0.148057
gene-plbd1a	gene-plbd1a	19.26501	22.376045
gene-plbd1b	gene-plbd1b	0	0.081394
gene-plbd2	gene-plbd2	29.211051	32.710151
gene-plcb1	gene-plcb1	0.118021	0.138165
gene-plcb1l	gene-plcb1l	1.952787	1.925843
gene-plcb2	gene-plcb2	0.043109	0.054002
gene-plcb3	gene-plcb3	4.76089	5.057925
gene-plcb4a	gene-plcb4a	0.008768	0.016897
gene-plcb4b	gene-plcb4b	3.201776	3.121975
gene-plcd1a	gene-plcd1a	9.201442	11.140123
gene-plcd1b	gene-plcd1b	18.225884	19.389922
gene-plcd3a	gene-plcd3a	2.043588	2.110484
gene-plcd3b	gene-plcd3b	0.958519	1.028755
gene-plcd4a	gene-plcd4a	1.766843	1.714002
gene-plcd4b	gene-plcd4b	1.601807	1.389915
gene-plce1	gene-plce1	2.377205	2.60862
gene-plcg1	gene-plcg1	18.84348	20.311032
gene-plcg2	gene-plcg2	0.628774	0.683382
gene-plch1	gene-plch1	5.248568	5.799525
gene-plch2a	gene-plch2a	1.19649	1.29547
gene-plch2b	gene-plch2b	0.050189	0.072375
gene-plcl1	gene-plcl1	3.852461	4.354141
gene-plcl2	gene-plcl2	1.556737	1.678344
gene-plcxd1.1	gene-plcxd1.1	0.145137	0.27564
gene-plcxd1.2	gene-plcxd1.2	10.058115	11.445104
gene-plcxd2	gene-plcxd2	0	0.020837
gene-plcxd3	gene-plcxd3	2.455618	2.586342
gene-pld1a	gene-pld1a	5.802523	6.464419
gene-pld1b	gene-pld1b	3.510101	3.793308
gene-pld2	gene-pld2	2.990942	3.385881
gene-pld3	gene-pld3	3.431675	4.391007
gene-pld4	gene-pld4	0.087225	0.108064
gene-pld5	gene-pld5	1.334975	0.979692
gene-pld6	gene-pld6	0.253316	0.325459
gene-pld7	gene-pld7	14.559638	15.648306
gene-pleca	gene-pleca	10.164877	12.229239
gene-plecb	gene-plecb	8.420444	10.137844
gene-plek	gene-plek	0.286332	0.24142
gene-plek2	gene-plek2	0.31252	0.353065
gene-plekha1a	gene-plekha1a	16.349683	16.601709
gene-plekha1b	gene-plekha1b	3.383371	3.826967
gene-plekha2	gene-plekha2	0.850968	0.69606
gene-plekha3	gene-plekha3	3.580845	3.772362
gene-plekha5	gene-plekha5	4.706625	5.682708
gene-plekha6	gene-plekha6	10.113604	10.658252
gene-plekha7a	gene-plekha7a	1.393039	1.728137
gene-plekha7b	gene-plekha7b	3.311384	3.730157
gene-plekha8	gene-plekha8	6.568818	6.498865
gene-plekhb1	gene-plekhb1	0	0
gene-plekhb2	gene-plekhb2	2.675419	2.504788
gene-plekhd1	gene-plekhd1	0.615673	0.7188
gene-plekhf1	gene-plekhf1	3.126762	3.544637
gene-plekhf2	gene-plekhf2	10.543872	12.53976
gene-plekhg2	gene-plekhg2	0.91703	1.197201
gene-plekhg4	gene-plekhg4	18.936488	20.699477
gene-plekhg4b	gene-plekhg4b	13.518194	14.734238
gene-plekhg5a	gene-plekhg5a	2.853884	3.570856
gene-plekhg5b	gene-plekhg5b	3.395158	3.781479
gene-plekhg6	gene-plekhg6	2.692432	2.803877
gene-plekhg7	gene-plekhg7	4.151178	4.995633
gene-plekhh1	gene-plekhh1	11.804715	13.002824
gene-plekhh2	gene-plekhh2	1.280454	1.558696
gene-plekhj1	gene-plekhj1	3.252535	3.320028
gene-plekhm1	gene-plekhm1	5.71168	5.686804
gene-plekhm2	gene-plekhm2	2.998563	3.757333
gene-plekhm3	gene-plekhm3	2.299494	2.798919
gene-plekhn1	gene-plekhn1	9.579134	10.673025
gene-plekho1a	gene-plekho1a	1.277391	1.481032
gene-plekho1b	gene-plekho1b	9.677184	10.546967
gene-plekho2	gene-plekho2	1.303226	1.491439
gene-plekhs1.1	gene-plekhs1.1	0.066319	0.049104
gene-plekhs1.2	gene-plekhs1.2	0.109887	0.08471
gene-plekhs1.3	gene-plekhs1.3	0.458123	0.409914
gene-plekhs1.4	gene-plekhs1.4	0.129366	0.041552
gene-plex9.1	gene-plex9.1	1.211825	1.09828
gene-plex9.2	gene-plex9.2	13.981475	13.99418
gene-plg	gene-plg	38.0329	43.912518
gene-plgrkt	gene-plgrkt	15.303196	16.304123
gene-plin1	gene-plin1	0	0.020266
gene-plin2	gene-plin2	3.882391	3.782634
gene-plin3	gene-plin3	8.185951	8.547588
gene-plin6	gene-plin6	0.310767	0.348014
gene-plk1	gene-plk1	157.401369	162.656962
gene-plk2a	gene-plk2a	4.602981	5.230559
gene-plk2b	gene-plk2b	9.851445	10.439483
gene-plk3	gene-plk3	24.892923	26.348882
gene-plk4	gene-plk4	16.201928	18.052687
gene-pllp	gene-pllp	1.793969	1.556826
gene-pln1	gene-pln1	0.119019	0.135538
gene-pln2	gene-pln2	2.147053	1.609141
gene-plod1a	gene-plod1a	24.835991	24.144188
gene-plod2	gene-plod2	16.498445	15.898254
gene-plod3	gene-plod3	55.391502	53.393035
gene-plp1a	gene-plp1a	54.427718	58.875769
gene-plp1b	gene-plp1b	0.019462	0.056259
gene-plp2a	gene-plp2a	0	0
gene-plp2b	gene-plp2b	78.457139	78.156256
gene-plpbp	gene-plpbp	15.381358	14.703514
gene-plpp1a	gene-plpp1a	40.483523	42.965626
gene-plpp1b	gene-plpp1b	2.842624	3.42835
gene-plpp2a	gene-plpp2a	1.371473	1.890831
gene-plpp2b	gene-plpp2b	7.134068	9.154048
gene-plpp3	gene-plpp3	24.999832	23.932564
gene-plpp4	gene-plpp4	0.034843	0.033575
gene-plpp5	gene-plpp5	19.753245	21.265596
gene-plpp6	gene-plpp6	5.371705	4.904992
gene-plpp7a	gene-plpp7a	11.21521	11.852785
gene-plppr1	gene-plppr1	14.89386	15.018217
gene-plppr2a	gene-plppr2a	1.013069	0.997884
gene-plppr2b	gene-plppr2b	0.056851	0.036521
gene-plppr3a	gene-plppr3a	13.547452	14.71416
gene-plppr3b	gene-plppr3b	0.017955	0.043255
gene-plppr4a	gene-plppr4a	0.239389	0.364319
gene-plppr4b	gene-plppr4b	0.038468	0.050604
gene-plppr5a	gene-plppr5a	1.044057	0.880295
gene-plppr5b	gene-plppr5b	0.301923	0.362522
gene-plrdgb	gene-plrdgb	0.014494	0.00927
gene-plrg1	gene-plrg1	50.050509	51.548815
gene-pls1	gene-pls1	0.821427	0.726897
gene-pls3	gene-pls3	93.035028	96.617048
gene-plscr3a	gene-plscr3a	0.21436	0
gene-plscr3b	gene-plscr3b	80.897795	86.894294
gene-pltp	gene-pltp	10.546678	9.959822
gene-plvapa	gene-plvapa	0.055344	0.026665
gene-plvapb	gene-plvapb	8.1969	8.015405
gene-plxdc1	gene-plxdc1	0.628653	0.4375
gene-plxdc2a	gene-plxdc2a	2.373207	2.595613
gene-plxdc2b	gene-plxdc2b	8.440898	9.867146
gene-plxna1a	gene-plxna1a	2.57526	3.402915
gene-plxna1b	gene-plxna1b	7.771801	9.396023
gene-plxna2	gene-plxna2	2.310243	2.632998
gene-plxna3	gene-plxna3	10.288351	11.497232
gene-plxna4	gene-plxna4	1.993867	2.229761
gene-plxnb1a	gene-plxnb1a	6.434269	7.219429
gene-plxnb1b	gene-plxnb1b	10.446704	11.387565
gene-plxnb2a.1	gene-plxnb2a.1	11.012971	11.683296
gene-plxnb2a.2	gene-plxnb2a.2	2.110412	1.66906
gene-plxnb2a.3	gene-plxnb2a.3	0.477422	0.812167
