id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0030168	platelet activation	0.000906922478061284	5	0.805309724653593	0.742044184322894	0.997025782265464	10218	4	19	1.78330500777829	0.179034501186989	0.237046775244295
GO:0040001	establishment of mitotic spindle localization	0.00188820621883542	11	0.850954553781903	0.742208494358977	0.997025782265464	211163	4	29	1.16837224647543	0.452527250281488	0.498027032953103
GO:0097479	synaptic vesicle localization	0.0014030779074599	8	0.832858659900818	0.742308157858661	0.997025782265464	49513	5	37	1.14468902526309	0.447038758305749	0.493333374243434
GO:0051781	positive regulation of cell division	0.00221126433275652	13	0.858748114688771	0.743970572660541	0.998704115019894	16068	7	34	1.74396739731259	0.0987002457968883	0.152364961443952
GO:0001578	microtubule bundle formation	0.0028479533962297	17	0.871925036762314	0.745182248269551	0.99977585056242	29469	11	74	1.2591579277894	0.253556767847326	0.312457372095101
GO:0007007	inner mitochondrial membrane organization	0.00173761247927848	10	0.840640246084049	0.74860222807406	0.999999904388717	21099	7	36	1.64708031968411	0.12502375431868	0.180664552984998
GO:0046068	cGMP metabolic process	0.001083848500579	6	0.808622412486093	0.749847086854813	0.999999904388717	119275	4	24	1.41178313115781	0.312740497128534	0.368494526329237
GO:0098876	vesicle-mediated transport to the plasma membrane	0.00535542933843133	33	0.900083398841721	0.750193582438006	0.999999904388717	60678	26	91	2.42019965341339	1.23524851964368e-05	9.25219447253243e-05
GO:0050801	monoatomic ion homeostasis	0.0139046905786058	89	0.93495731299473	0.752357951781076	0.999999904388717	40468	58	300	1.63766843214306	0.000107039551625999	0.000600762587896266
GO:0055082	intracellular chemical homeostasis	0.0131497913068908	84	0.933089990856131	0.75274542861342	0.999999904388717	48469	54	275	1.66333721634593	0.000119431664518802	0.000658098397428203
GO:0021700	developmental maturation	0.00644280836659471	40	0.906875945435837	0.752762307852384	0.999999904388717	37164	24	113	1.79908646802411	0.00298040273352395	0.00983573562400333
GO:1901222	regulation of non-canonical NF-kappaB signal transduction	0.00174541139055433	10	0.836884066463818	0.753359405265773	0.999999904388717	59984	5	27	1.56864792350868	0.207502458087907	0.265300447206473
GO:0006164	purine nucleotide biosynthetic process	0.00505472294978201	31	0.895833795391564	0.753390348459777	0.999999904388717	35506	21	128	1.38972401973347	0.0742724038787386	0.121477312361507
GO:0009152	purine ribonucleotide biosynthetic process	0.00427871850857572	26	0.887611126101068	0.75385570159011	0.999999904388717	37902	17	104	1.38463345555862	0.102899867103134	0.157807715831767
GO:0086009	membrane repolarization	0.000922609340311596	5	0.79161727415747	0.755169189121922	0.999999904388717	5979	2	12	1.41178313115781	0.422816232191963	0.4717677424688
GO:0009309	amine biosynthetic process	0.000922850920889218	5	0.791410047449432	0.755367339475321	0.999999904388717	3875	4	17	1.99310559692867	0.1322031561528	0.1847483736185
GO:0042401	biogenic amine biosynthetic process	0.000922850920889218	5	0.791410047449432	0.755367339475321	0.999999904388717	3875	4	17	1.99310559692867	0.1322031561528	0.1847483736185
GO:0070593	dendrite self-avoidance	0.00092662095836056	5	0.788190127257512	0.758444047499361	0.999999904388717	164631	2	11	1.54012705217216	0.3791615252051	0.428394081957561
GO:0072576	liver morphogenesis	0.00109697805985763	6	0.798944136969678	0.759796008745863	0.999999904388717	10718	5	14	3.02524956676674	0.0182935325119236	0.0405610038004978
GO:0006940	regulation of smooth muscle contraction	0.000930018961742365	5	0.785310322836203	0.761192107084729	0.999999904388717	7974	4	13	2.60636885752211	0.0578259971785515	0.0981621664385375
GO:0043242	negative regulation of protein-containing complex disassembly	0.00351469301286835	21	0.872760338199013	0.761624827854989	0.999999904388717	40979	14	58	2.044651431332	0.00655975447720069	0.0183870754117595
GO:0000578	embryonic axis specification	0.00126647789541925	7	0.807353125722797	0.761690881770852	0.999999904388717	26436	5	32	1.32354668546045	0.324738809865298	0.380664364007503
GO:0007622	rhythmic behavior	0.00160213409134821	9	0.820553217774149	0.765393001844349	0.999999904388717	34171	4	27	1.25491833880694	0.397121741176009	0.446392886572847
GO:0048512	circadian behavior	0.00160213409134821	9	0.820553217774149	0.765393001844349	0.999999904388717	34171	4	27	1.25491833880694	0.397121741176009	0.446392886572847
GO:0032922	circadian regulation of gene expression	0.00192912720776366	11	0.83290395466454	0.765905237156328	0.999999904388717	54962	6	34	1.49482919769651	0.206743652242889	0.265300447206473
GO:0034314	Arp2/3 complex-mediated actin nucleation	0.00144169628836829	8	0.810549069988992	0.76802010447612	0.999999904388717	32458	5	32	1.32354668546045	0.324738809865298	0.380664364007503
GO:0008345	larval locomotory behavior	0.0011168380540288	6	0.784737040563827	0.774285761758659	0.999999904388717	43037	6	20	2.54120963608406	0.0241589181340045	0.0500346087039015
GO:0006939	smooth muscle contraction	0.00259473139568749	15	0.844426701318935	0.776368218232824	0.999999904388717	24610	10	33	2.56687842028693	0.003687181987309	0.0116744675750006
GO:0002757	immune response-activating signaling pathway	0.00402432449711693	24	0.871126759221832	0.776619209677646	0.999999904388717	45014	19	102	1.5778752642352	0.0291158201607868	0.0581760800531092
GO:0048469	cell maturation	0.0035556685299841	21	0.862702649785637	0.778545337465476	0.999999904388717	31346	13	77	1.430117977017	0.116831728336761	0.170250572799171
GO:0046470	phosphatidylcholine metabolic process	0.00112315435078828	6	0.780323905340806	0.778754021261926	0.999999904388717	15746	4	23	1.47316500642554	0.284849328174485	0.342054118522099
GO:0006906	vesicle fusion	0.00418888159406041	25	0.871776242285394	0.779324096759673	0.999999904388717	10981	19	96	1.6764924682499	0.0161331615766641	0.0372474587098202
GO:0040011	locomotion	0.0253685441820016	164	0.944303084003443	0.781494443973641	0.999999904388717	41473	86	434	1.67852556607703	1.0043569511803e-06	1.06093426415072e-05
GO:0032011	ARF protein signal transduction	0.00212342839565415	12	0.825480332749936	0.782921431983836	0.999999904388717	23486	8	25	2.710623611823	0.00634465309140733	0.017971564201539
GO:0032012	regulation of ARF protein signal transduction	0.00212342839565415	12	0.825480332749936	0.782921431983836	0.999999904388717	23486	8	25	2.710623611823	0.00634465309140733	0.017971564201539
