ID	Description	FoldEnrichment_actinopterygii	FoldEnrichment_gnathostomata	p.adjust_actinopterygii	p.adjust_gnathostomata	p.adjust_hyper_actinopterygii	p.adjust_hyper_gnathostomata	delta_FE	log2ratio_FE	signif_both
GO:0038202	TORC1 signaling	3.13060203196439	1.1573075697481	0.0025204562334434	0.523814088598686	0.00140609121250818	0.0754201849989578	1.97329446221629	1.43566779138235	FALSE
GO:0042274	ribosomal small subunit biogenesis	2.54570074872438	0.945586558087248	0.0310282966978895	0.879079998374771	0.193709573710156	0.475949143160672	1.60011419063713	1.42878140579711	FALSE
GO:0009914	hormone transport	1.43349516206156	0.557819326867076	0.402120349838372	0.999999904388717	0.246526730569822	0.488671929363445	0.875675835194487	1.36166720993858	FALSE
GO:0003140	determination of left/right asymmetry in lateral mesoderm	2.62312718873933	1.0207436212097	0.10442730601885	0.790537906844387	0.0693839393569795	0.221445142884793	1.60238356752964	1.36166720993858	FALSE
GO:0008299	isoprenoid biosynthetic process	3.27653446084376	1.27500552201107	0.0551358129174567	0.525837256451935	0.206273970866843	0.142395439047276	2.00152893883269	1.36166720993858	FALSE
GO:0015833	peptide transport	1.55599822060178	0.605489228700428	0.34450993923986	0.999999904388717	0.195641215919323	0.245928900893393	0.950508991901347	1.36166720993858	FALSE
GO:0061318	renal filtration cell differentiation	0.839231202918722	2.10638941184806	0.829942609809664	7.17087145235929e-05	0.0728310017310353	1.51908991977905e-05	-1.26715820892934	-1.32763195059732	FALSE
GO:0072010	glomerular epithelium development	0.839231202918722	2.10638941184806	0.829942609809664	7.17087145235929e-05	0.0728310017310353	1.51908991977905e-05	-1.26715820892934	-1.32763195059732	FALSE
GO:0072112	podocyte differentiation	0.839231202918722	2.10638941184806	0.829942609809664	7.17087145235929e-05	0.0728310017310353	1.51908991977905e-05	-1.26715820892934	-1.32763195059732	FALSE
GO:0072311	glomerular epithelial cell differentiation	0.839231202918722	2.10638941184806	0.829942609809664	7.17087145235929e-05	0.0728310017310353	1.51908991977905e-05	-1.26715820892934	-1.32763195059732	FALSE
GO:0072657	protein localization to membrane	0.357306085326826	0.893824412774505	0.999999075650302	0.999999904388717	0.782313848540526	0.00181803517227001	-0.53651832744768	-1.3228309643335	FALSE
GO:0034198	cellular response to amino acid starvation	4.39213124587953	1.7625303191999	0.00751682506960855	0.146468363720394	0.0569920854210617	0.0332930028030291	2.62960092667963	1.31727309058012	FALSE
GO:0009266	response to temperature stimulus	1.47564506916257	0.592165631939364	0.330259917057437	0.999999904388717	0.218148491292618	0.285404950083778	0.883479437223211	1.31727309058012	FALSE
GO:0048702	embryonic neurocranium morphogenesis	1.00483446156811	2.46338558799152	0.710669649312397	2.91662093504878e-06	0.206273970866843	0.000712721176966175	-1.45855112642341	-1.29368461867398	FALSE
GO:0099175	regulation of postsynapse organization	0.946066890115271	0.386552483936669	0.748466707413229	0.999999904388717	0.156727382828685	0.342054118522099	0.559514406178602	1.29127788204718	FALSE
GO:1901679	nucleotide transmembrane transport	5.73979637894459	2.34521741618227	0.0170061239718049	0.0992955087293716	0.00477225183311111	0.163366492316089	3.39457896276232	1.29127788204718	FALSE
GO:0071867	response to monoamine	2.65340662137273	1.08415264407008	0.0322795359253748	0.676763449946817	0.00679137268472299	0.0754201849989578	1.56925397730264	1.29127788204718	FALSE
GO:0071868	cellular response to monoamine stimulus	2.65340662137273	1.08415264407008	0.0322795359253748	0.676763449946817	0.00679137268472299	0.0754201849989578	1.56925397730264	1.29127788204718	FALSE
GO:0071869	response to catecholamine	2.65340662137273	1.08415264407008	0.0322795359253748	0.676763449946817	0.00679137268472299	0.0754201849989578	1.56925397730264	1.29127788204718	FALSE
GO:0071870	cellular response to catecholamine stimulus	2.65340662137273	1.08415264407008	0.0322795359253748	0.676763449946817	0.00679137268472299	0.0754201849989578	1.56925397730264	1.29127788204718	FALSE
GO:1903350	response to dopamine	2.65340662137273	1.08415264407008	0.0322795359253748	0.676763449946817	0.00679137268472299	0.0754201849989578	1.56925397730264	1.29127788204718	FALSE
GO:1903351	cellular response to dopamine	2.65340662137273	1.08415264407008	0.0322795359253748	0.676763449946817	0.00679137268472299	0.0754201849989578	1.56925397730264	1.29127788204718	FALSE
GO:0031124	mRNA 3'-end processing	4.00307994722395	1.63561426064488	0.0471357524658074	0.307510967347005	0.133692378714273	0.0600431523370345	2.36746568657907	1.29127788204718	FALSE
GO:0035622	intrahepatic bile duct development	2.66230600209022	1.08778883275588	0.13089491632261	0.729098279549225	0.0457391341338329	0.287316641558905	1.57451716933434	1.29127788204718	FALSE
GO:0048754	branching morphogenesis of an epithelial tube	1.66928744174378	0.682052414847459	0.333790394479722	0.999999904388717	0.0569920854210617	0.342054118522099	0.987235026896322	1.29127788204718	FALSE
GO:0015844	monoamine transport	2.88816597593392	1.20415584072367	0.0584811801491883	0.561595642562835	0.0457391341338329	0.0219052544684514	1.68401013521025	1.26213153638766	FALSE
GO:0034762	regulation of transmembrane transport	1.4323185826982	0.597173016199451	0.249097018369203	0.999999904388717	0.0510387608981112	0.751285335327354	0.835145566498752	1.26213153638766	FALSE
GO:0015908	fatty acid transport	1.61971223676612	0.675302585254938	0.285373156047596	0.999999904388717	0.184524037782108	0.484189010203702	0.944409651511185	1.26213153638766	FALSE
GO:0140029	exocytic process	1.00979340565404	0.42101064740553	0.696601294847102	0.999999904388717	0.0626594577106804	0.446286664937714	0.588782758248514	1.26213153638766	FALSE
